No,Probeset,GeneSymbole,GeneID,hpBECs,hpBECs + HA,hCMEC/D3,hCMEC/D3 + HA
6467,1562235_s_at,NA,NA,2.4495,2.523575,2.2052,2.115675
6468,1562236_at,MYST4,23522,2.30855,2.288175,2.3069,2.323525
6469,1562238_at,USPL1,10208,3.602825,3.62315,3.667775,3.461025
6470,1562239_at,SGSM1,129049,3.62175,3.542375,3.3452,3.41585
6471,1562240_at,PLXNA4,91584,4.01365,4.0327,2.818075,3.07745
6472,1562244_at,ZNF578,147660,2.983275,2.782125,2.86345,2.702725
6473,1562245_a_at,ZNF578,147660,2.58705,2.85005,2.4545,2.69545
6474,1562247_at,LOC286058,286058,3.621175,3.6045,3.41365,3.4539
6475,1562249_at,LOC285965,285965,2.434775,2.25515,2.4501,2.429625
6476,1562250_at,NA,NA,2.26115,2.122525,2.140175,2.176075
6477,1562251_a_at,LOC574538,574538,2.770925,2.699475,2.697,2.733875
6478,1562253_at,LOC641364,641364,2.7164,2.923,2.847925,2.814425
6479,1562254_at,STK35,140901,5.130725,5.22975,5.316775,5.27255
6480,1562255_at,SYTL3,94120,2.117075,2.249475,2.2592,2.1182
6481,1562256_at,NLRP1,22861,4.067875,3.981225,3.78525,3.8985
6482,1562257_x_at,NLRP1,22861,3.965825,3.8795,3.81835,3.876575
6483,1562259_at,TEX9,374618,2.620225,2.650775,2.795975,2.865725
6484,1562260_at,NA,NA,2.205525,2.01975,2.078725,2.2058
6485,1562261_at,AMZ1,155185,4.626125,4.666325,4.60695,4.523225
6486,1562263_at,NA,NA,4.320475,4.233875,4.21265,4.128975
6487,1562264_at,LOC339685,339685,3.8967,3.8395,3.89455,3.6685
6488,1562265_at,NA,NA,3.3604,3.129825,3.42915,3.559025
6489,1562267_s_at,ZNF709,163051,3.615825,3.5279,3.61745,3.55555
6490,1562269_at,NA,NA,3.342925,3.432975,3.4825,3.417825
6491,1562270_at,ARHGEF7,8874,3.375725,3.3931,3.186025,3.095025
6492,1562271_x_at,ARHGEF7,8874,6.0563,5.753925,5.40765,5.235325
6493,1562272_at,NA,NA,3.977525,3.962175,3.832225,3.91395
6494,1562273_at,CNGA4,1262,3.296025,3.1499,3.1375,3.146925
6495,1562274_at,NA,NA,2.75425,2.87855,2.9335,2.84825
6496,1562275_at,NA,NA,2.99775,3.0292,2.6309,2.457125
6497,1562276_at,NA,NA,2.294375,2.2663,2.1668,2.330325
6498,1562278_at,DNAH1,25981,2.864125,2.821325,2.6863,2.7928
6499,1562280_at,NA,NA,2.714725,2.8405,3.5031,3.436975
6500,1562281_at,NA,NA,3.321625,3.489475,3.3047,3.285525
6501,1562282_at,ZNF568,374900,2.785125,2.948525,2.8174,3.0018
6502,1562283_at,NA,NA,2.7222,2.681325,2.898475,3.0689
6503,1562286_at,NA,NA,2.20265,2.0636,2.1088,2.204075
6504,1562287_at,SNTG1,54212,2.235975,2.369,2.21,2.2071
6505,1562288_at,NA,NA,2.2034,2.29645,2.305275,2.360925
6506,1562289_at,NA,NA,4.1972,4.319575,4.11925,4.1659
6507,1562290_at,NA,NA,2.04845,1.959825,2.152475,2.02455
6508,1562292_at,ANKRD30B,374860,2.190925,2.258175,2.214075,2.2758
6509,1562294_x_at,ANKRD30B,374860,2.11255,2.05405,2.043275,2.020925
6510,1562295_at,NA,NA,4.16965,4.16535,3.864675,3.988975
6511,1562296_at,NA,NA,2.961975,3.004275,2.8402,2.888825
6512,1562297_at,NA,NA,2.639925,2.81275,2.628225,2.634425
6513,1562299_at,C14orf25,319089,2.37445,2.46,2.422,2.428825
6514,1562300_at,NA,NA,2.7749,2.759725,2.812975,2.6833
6515,1562301_at,C8orf34,116328,2.033925,1.943525,2.14705,2.097575
6516,1562303_at,ZKSCAN3,80317,2.828675,2.875175,2.938075,2.9892
6517,1562305_x_at,ZKSCAN3,80317,3.2584,3.22705,3.150375,3.3118
6518,1562306_at,NA,NA,2.094225,2.167725,2.189725,2.17775
6519,1562307_at,NA,NA,2.361625,2.4503,2.586775,2.63915
6520,1562308_at,LOC283682,283682,2.7262,2.881825,2.7646,2.72155
6521,1562309_s_at,PHF21B,112885,2.3572,2.321525,2.2599,2.44745
6522,1562310_at,NA,NA,2.1221,2.17675,2.1707,2.064125
6523,1562311_at,NA,NA,2.33115,2.155925,2.172575,2.32575
6524,1562313_at,BCORL2,286554,2.5503,2.5476,2.71065,2.425425
6525,1562314_at,NA,NA,4.63705,4.749075,4.7215,4.56595
6526,1562316_at,NA,NA,3.327775,3.378,3.66605,3.606975
6527,1562317_at,FAM186A,121006,2.475875,2.387825,2.41555,2.54875
6528,1562319_at,FAM169B,283777,4.33845,4.3339,4.217,4.29505
6529,1562320_at,LOC399875,399875,2.760275,2.6699,2.549725,2.527775
6530,1562321_at,PDK4,5166,2.539825,2.3639,2.990275,2.9813
6531,1562323_at,NA,NA,5.300325,5.103725,4.96255,4.98785
6532,1562324_a_at,NA,NA,4.353725,4.49345,4.441925,4.320075
6533,1562326_at,FLJ30838,400955,2.69145,2.714,2.679825,2.90405
6534,1562327_at,NA,NA,2.775975,2.9124,2.759475,2.616725
6535,1562329_at,CSMD1,64478,2.13875,2.1056,2.24435,2.123
6536,1562330_s_at,CSMD1,64478,3.46615,3.6882,3.506775,3.466575
6537,1562332_at,NA,NA,2.490225,2.72095,2.5188,2.527825
6538,1562336_at,CASC2,255082,3.370525,3.30765,3.276125,3.0818
6539,1562337_at,OR7D2,162998,2.466525,2.4945,2.49975,2.513725
6540,1562338_at,MARCH1,55016,2.77,2.611975,2.530375,2.502075
6541,1562341_at,NA,NA,2.235825,2.1659,2.2461,2.334325
6542,1562342_at,NA,NA,1.9639,2.19355,1.934025,1.8982
6543,1562346_at,NA,NA,4.509825,4.4035,4.301275,4.431925
6544,1562348_at,LOC400680,400680,2.35285,2.3208,2.631225,2.39875
6545,1562349_at,TRAPPC2,6399,2.092425,2.1222,2.1928,2.217425
6546,1562351_at,NA,NA,3.4991,3.597325,3.562025,3.685375
6547,1562352_at,NA,NA,2.11935,2.20455,2.078625,2.144725
6548,1562353_x_at,NA,NA,2.295075,2.27255,2.516675,2.438675
6549,1562358_at,NA,NA,2.346025,2.2467,2.3555,2.3563
6550,1562364_at,NA,NA,2.415625,2.4312,2.50835,2.529675
6551,1562365_at,LOC286177,286177,2.414025,2.33565,2.47005,2.295675
6552,1562367_at,C15orf54,400360,9.39635,9.4613,6.06575,5.5844
6553,1562368_at,CARD11,84433,4.3302,4.5549,4.097975,3.95845
6554,1562371_s_at,VWA3B,200403,2.673525,2.71515,2.667575,2.6398
6555,1562372_at,SV2C,22987,2.582325,2.444775,2.547,2.487325
6556,1562373_at,NA,NA,2.72815,2.8506,2.76515,2.776
6557,1562378_s_at,PROM2,150696,6.400725,6.5418,6.3003,6.3419
6558,1562380_at,NA,NA,2.67675,2.663875,2.66415,2.7571
6559,1562381_at,RP3-377H14.5,285830,1.9691,2.2647,2.3952,2.362125
6560,1562383_at,NA,NA,2.8712,2.957275,2.74505,2.672875
6561,1562384_at,NA,NA,2.696375,2.711225,2.74475,2.689
6562,1562386_s_at,ZNF501,115560,3.7376,3.646525,3.7027,3.77495
6563,1562387_at,C5orf42,65250,2.277775,2.372375,2.34755,2.21565
6564,1562388_at,LOC285819,285819,4.38265,4.4342,4.1915,4.0636
6565,1562389_at,NA,NA,4.80545,4.902075,2.401175,2.356775
6566,1562390_at,NA,NA,3.558475,3.3691,3.586725,3.58865
6567,1562391_at,B3GALNT2,148789,3.703725,3.797375,4.020275,4.00035
6568,1562392_at,MRPL23,6150,4.234875,4.241625,4.179575,4.2948
6569,1562396_at,C14orf184,650662,2.0013,1.987225,2.00075,1.98065
6570,1562398_at,NA,NA,2.543475,2.4372,2.555925,2.66575
6571,1562399_at,NA,NA,3.047025,2.8372,2.729975,2.718575
6572,1562400_at,LOC283112,283112,1.93825,2.01215,2.008875,2.0499
6573,1562403_a_at,SLC8A3,6547,3.687,3.740575,3.810575,3.765625
6574,1562406_at,NA,NA,2.226275,2.41495,2.321,2.248625
6575,1562408_at,NA,NA,4.72315,4.8968,4.837175,4.75815
6576,1562409_s_at,NA,NA,3.934125,3.909875,3.773925,3.815625
6577,1562411_at,MYLK3,91807,4.22015,4.254,3.882225,3.859375
6578,1562412_at,NA,NA,3.1035,3.06975,3.16125,3.249525
6579,1562413_at,NCRNA00167,440072,3.192475,3.42095,3.27,3.26725
6580,1562414_at,NA,NA,2.72065,2.638425,2.65235,2.6728
6581,1562415_a_at,SPOCD1,90853,8.516675,8.417675,5.511425,5.3343
6582,1562416_at,NA,NA,6.969575,6.89395,6.5173,6.3986
6583,1562418_at,NA,NA,2.123725,2.1381,2.06505,2.111325
6584,1562420_at,NA,NA,4.415975,4.6404,2.576175,2.632575
6585,1562424_at,LOC285889,285889,2.734575,2.6499,2.6515,2.649725
6586,1562425_at,FARP1,10160,3.58595,3.84455,3.43085,3.639575
6587,1562426_a_at,FARP1,10160,3.7524,3.68195,4.026675,3.8213
6588,1562428_at,LOC654780,654780,5.539,5.509325,5.482625,5.4885
6589,1562431_x_at,NA,NA,2.116775,2.1501,2.065325,2.05635
6590,1562432_at,NA,NA,3.903,3.961375,3.939925,3.8335
6591,1562433_at,FLJ10489,379034,3.560625,3.519525,3.564575,3.6642
6592,1562434_at,UNK,85451,5.415625,5.425725,5.398825,5.3418
6593,1562436_at,CARS,833,3.909675,3.7497,3.735225,3.694575
6594,1562439_at,NCOA3,8202,2.28995,2.21815,2.123175,2.26805
6595,1562440_at,MAP3K13,9175,2.567175,2.7993,2.685,2.679875
6596,1562442_a_at,SSBP1,6742,5.34155,5.353225,4.829075,4.83735
6597,1562443_at,CLVS2,134829,2.94455,3.06135,3.0489,3.0587
6598,1562446_at,ZNF391,346157,3.559825,3.7262,3.492425,3.53495
6599,1562447_a_at,NA,NA,4.23175,3.995875,4.091425,4.013825
6600,1562449_s_at,NA,NA,5.2923,5.287125,5.276275,5.23735
6601,1562453_at,NA,NA,2.55085,2.53555,2.464325,2.6001
6602,1562454_at,NA,NA,3.08245,3.1031,3.35765,3.2423
6603,1562455_at,NA,NA,2.916725,3.00545,2.894875,2.919175
6604,1562456_at,NA,NA,4.876075,4.771975,4.3515,4.4889
6605,1562457_at,NCKAP5L,57701,5.0419,4.847925,4.1059,4.2009
6606,1562458_at,NA,NA,2.607525,2.6073,2.5731,2.618625
6607,1562459_at,NA,NA,2.388,2.53355,2.321025,2.337025
6608,1562460_at,CNDP2,55748,6.35545,6.33195,6.45115,6.305875
6609,1562462_at,DNAH10,196385,3.6618,3.815975,3.400075,3.529325
6610,1562463_at,NA,NA,3.673925,3.59945,3.607375,3.6319
6611,1562464_at,NA,NA,2.192275,2.336375,2.415775,2.344425
6612,1562467_at,NA,NA,2.81495,3.126425,2.8928,2.9869
6613,1562468_at,NA,NA,3.756925,3.998875,3.887175,3.91815
6614,1562469_at,FLJ22536,401237,2.340025,2.4016,2.4125,2.4298
6615,1562470_at,C1orf83,127428,2.23775,2.202075,2.35695,2.282225
6616,1562472_at,NA,NA,2.31865,2.369725,2.510975,2.47675
6617,1562473_at,NA,NA,2.54865,2.4912,2.48405,2.5274
6618,1562474_at,NA,NA,5.7828,5.76155,6.151825,6.11365
6619,1562475_at,DKFZp686O1327,401014,3.036925,3.029875,2.8877,2.931075
6620,1562476_at,NA,NA,2.713175,2.90895,2.819425,2.78145
6621,1562477_at,EBF2,64641,3.843,3.83965,3.851925,3.88605
6622,1562478_at,NA,NA,4.219325,4.1341,4.14365,4.125775
6623,1562480_at,NA,NA,1.934825,1.992975,1.993525,1.913375
6624,1562481_at,LOC400960,400960,2.406,2.54685,2.603825,2.3569
6625,1562482_at,NA,NA,4.220925,4.2644,4.054425,4.104675
6626,1562484_at,C17orf104,284071,2.3783,2.435525,2.394375,2.565125
6627,1562487_at,NA,NA,4.078025,4.085175,3.7154,4.032125
6628,1562488_at,NA,NA,5.01995,5.033425,4.675075,4.810475
6629,1562490_at,THEM5,284486,2.639425,2.7189,2.73735,2.651175
6630,1562491_at,NA,NA,1.998875,1.9772,2.036875,2.020525
6631,1562492_at,LOC340090,340090,2.441475,2.58315,2.4759,2.498225
6632,1562495_at,ANKFY1,51479,3.854475,3.935475,3.965425,3.883925
6633,1562496_at,LOC339539,339539,4.346,4.6379,4.44505,4.530625
6634,1562497_at,NA,NA,3.09685,3.0706,4.051775,4.125175
6635,1562499_at,NA,NA,2.9785,3.143625,3.043525,3.149925
6636,1562501_at,LOC255177,255177,2.7355,2.809025,2.8864,2.705225
6637,1562502_at,NA,NA,2.347775,2.29625,2.351925,2.40675
6638,1562505_at,NA,NA,4.132275,4.169225,4.32875,4.323675
6639,1562507_at,NA,NA,2.457875,2.465575,2.4981,2.3255
6640,1562509_at,NA,NA,3.2736,3.2724,3.110325,3.2098
6641,1562510_at,LOC339442,339442,3.639875,3.69225,3.58815,3.6274
6642,1562511_at,LYST,1130,2.982225,3.0063,3.140275,3.125175
6643,1562512_at,SMPDL3A,10924,2.8208,2.888025,2.774275,2.764375
6644,1562514_at,NA,NA,2.448625,2.458825,2.6513,2.49725
6645,1562516_at,WDR60,55112,2.473875,2.56245,2.61585,2.331875
6646,1562520_at,NA,NA,2.4442,2.34495,2.39465,2.433025
6647,1562523_at,NA,NA,2.6893,2.6508,2.578975,2.543625
6648,1562524_at,NA,NA,3.300225,3.3381,3.253775,3.269475
6649,1562527_at,LOC283027,283027,2.35285,2.320175,2.34975,2.36505
6650,1562528_at,NA,NA,2.411525,2.32505,2.025525,1.885425
6651,1562529_s_at,NA,NA,4.28675,4.5897,3.2044,3.263275
6652,1562532_at,NA,NA,2.992975,2.99885,3.014925,3.122975
6653,1562537_at,FCER1A,2205,3.218175,3.208775,3.215375,3.22135
6654,1562540_at,LOC339978,339978,3.65085,3.701275,3.629775,3.642775
6655,1562541_at,NA,NA,3.51515,3.500025,3.33695,3.477625
6656,1562543_at,NA,NA,2.47765,2.410925,2.235275,2.394075
6657,1562544_at,NA,NA,3.845375,3.785525,3.774075,3.782725
6658,1562546_at,NA,NA,2.9146,2.805675,2.655025,2.712575
6659,1562549_at,NA,NA,3.073875,3.203775,3.0725,3.094725
6660,1562550_at,NA,NA,4.2159,3.976575,3.929425,3.989575
6661,1562553_at,NA,NA,1.98915,1.8441,1.923025,1.9924
6662,1562557_at,NA,NA,4.53095,4.472625,4.41565,4.526425
6663,1562558_at,LOC440704,440704,2.28925,2.199175,2.363575,2.278925
6664,1562559_at,C9orf89,84270,4.813975,4.947825,4.858525,4.705375
6665,1562562_at,C3orf16,389161,2.9688,2.95595,2.867225,3.010825
6666,1562563_at,HCN1,348980,4.3738,4.12385,3.993525,4.120125
6667,1562566_at,LOC643749,643749,1.949425,2.050275,2.1407,1.959825
6668,1562568_at,LOC400541,400541,2.23455,2.29515,2.31585,2.31745
6669,1562572_at,NA,NA,2.8207,2.87005,2.897725,2.9428
6670,1562573_at,CYP17A1,1586,2.4324,2.4153,2.4612,2.614075
6671,1562576_at,NA,NA,3.0507,2.96355,3.02795,2.848875
