Probeset	GeneSymbole	Signal
1552498_at	ZSCAN20	157.6412506
1552499_a_at	ZSCAN20	9.108777625
1552501_a_at	GPBAR1	75.44984845
1552502_s_at	RHBDL2	83.70488882
1552503_at	FRAS1	12.45847641
1552504_a_at	BRSK1	150.780568
1552506_at	CRB2	12.75124134
1552507_at	KCNE4	20.36609267
1552508_at	KCNE4	65.60019739
1552509_a_at	CD300LG	1326.085295
1552510_at	SLC34A3	252.239943
1552511_a_at	CPA6	10.42730253
1552514_at	WBP2NL	29.60256995
1552515_at	HIPK1	53.346589
1552516_a_at	HIPK1	114.2065946
1552518_s_at	MTBP	6.902818756
1552519_at	ACVR1C	888.6036884
1552520_at	TMEM74	142.5906046
1552521_a_at	TMEM74	138.7443093
1552522_at	TIGD4	140.8626368
1552523_a_at	TIGD4	141.3619764
1552524_at	ART5	34.93119729
1552526_at	FAM71C	58.79151678
1552528_at	C21orf67	14.88072711
1552531_a_at	NLRP11	52.06105528
1552532_a_at	ATP6V1C2	18.22521493
1552535_at	CLDN19	34.01896666
1552536_at	VTI1A	92.46638633
1552538_a_at	KIF6	12.09777517
1552540_s_at	IQCD	81.10428718
1552541_at	TAGAP	171.6735059
1552542_s_at	TAGAP	136.0325254
1552543_a_at	STON2	99.55818965
1552544_at	SERPINA12	15.33469215
1552546_a_at	LETM2	107.4263571
1552548_at	BSND	93.43854302
1552549_a_at	BSND	54.90178827
1552552_s_at	CLEC4C	29.17342388
1552553_a_at	NLRC4	45.71595307
1552554_a_at	NLRC4	5.241240851
1552555_at	PRSS36	85.78493308
1552557_a_at	ZDHHC15	87.82674678
1552558_a_at	RAI1	105.8256174
1552559_a_at	CDK15	23.61660036
1552562_at	ZNF570	69.80955279
1552563_a_at	NA	47.23831373
1552564_at	NUDT9P1	90.21460164
1552566_at	BTBD16	4.233385339
1552568_at	RTP3	52.19564127
1552569_a_at	RTP3	9.530953835
1552570_at	C21orf29	74.44023691
1552572_a_at	MIPOL1	2.140139161
1552573_s_at	MIPOL1	33.85533967
1552575_a_at	C6orf141	112.5064614
1552576_at	ALMS1P	109.852327
1552578_a_at	MYO3B	3.12677984
1552579_a_at	ADAM21	47.84808472
1552580_at	TRIML2	60.46829022
1552582_at	ABCC13	25.66199203
1552583_s_at	ABCC13	29.42050685
1552584_at	IL12RB1	157.0538734
1552585_s_at	GTF2A1L	61.23992428
1552586_at	TRPV3	62.50898894
1552587_at	CNBD1	47.62498616
1552588_a_at	CNBD1	3.144108073
1552590_a_at	ABCC12	49.45924056
1552592_at	MMP21	11.27440295
1552594_at	TMEM190	13.80416902
