Probeset,GeneSymbole,GeneID,hpBECs,hpBECs + HA,hCMEC/D3,hCMEC/D3 + HA
239448_at,NA,NA,4.786775,4.830125,4.91625,4.70005
239449_at,NA,NA,3.208725,3.29855,3.5379,3.386225
239450_at,NA,NA,5.103625,4.8413,4.505425,4.6423
239451_at,NA,NA,6.1652,6.018025,5.45485,5.5338
239452_at,NA,NA,3.87375,3.894225,3.6072,3.662525
239453_at,NA,NA,5.551125,5.47155,5.485275,5.2812
239454_at,NA,NA,4.559075,4.782525,4.7338,4.612275
239455_at,NA,NA,3.069225,2.938275,3.026625,2.99165
239456_at,NA,NA,2.904475,3.010775,2.984925,2.922975
239457_at,ATP8B3,148229,4.0652,3.93915,3.759675,3.867
239458_at,ALS2CR12,130540,2.80255,2.9464,2.901325,2.80125
239459_s_at,CYP19A1,1588,2.228825,2.082725,2.0797,2.184175
239460_at,CYP19A1,1588,2.5485,2.538125,2.56065,2.568975
239461_at,GALNTL2,117248,2.845875,2.924025,3.12785,3.07925
239462_at,ZNF284,342909,6.313025,6.252375,6.340725,6.4198
239463_at,NA,NA,4.352075,4.288625,4.408175,4.311475
239464_at,NA,NA,5.44875,5.3289,5.2714,5.33675
239465_at,NA,NA,3.1028,3.18225,3.218025,3.117325
239466_at,LOC344595,344595,5.2166,5.03155,5.217475,5.19095
239467_at,NA,NA,2.2128,2.290925,2.2862,2.223325
239468_at,MKX,283078,2.1238,2.293525,2.216825,2.07015
239469_at,NA,NA,5.54025,5.305075,5.050525,5.30075
239470_at,C15orf56,644809,3.052825,2.73035,2.768275,2.650275
239471_at,LRRC28,123355,2.79505,2.761575,3.11575,3.141425
239472_at,NA,NA,3.5854,3.6595,3.261325,3.3323
239473_x_at,NA,NA,5.1525,5.083475,4.8746,5.0117
239474_at,NA,NA,5.667075,5.8078,5.6087,5.892775
239475_at,ACPL2,92370,3.2662,3.4072,3.38235,3.3796
239476_at,NA,NA,4.45575,4.4499,4.333375,4.350725
239477_at,EFHB,151651,2.076725,2.059375,3.0784,2.711325
239478_x_at,NA,NA,4.8332,4.811225,4.59185,4.45505
239479_x_at,NA,NA,2.8356,3.092225,2.9517,3.017025
239480_at,NA,NA,1.9199,1.80205,1.999125,1.7869
239481_at,FAM133A,286499,2.4251,2.463725,2.5664,2.578625
239482_x_at,ZNF708,7562,5.276675,5.2619,5.503725,5.53335
239483_at,NA,NA,4.701825,4.73245,4.0902,4.092675
239484_at,NA,NA,4.972025,4.908025,5.440575,5.45815
239485_at,CDH4,1002,3.93395,4.106325,3.992625,4.02095
239486_at,NA,NA,5.409325,5.000575,5.57985,5.570325
239487_at,FAM98A,25940,5.380675,4.7441,4.10445,3.90425
239488_at,NA,NA,2.5658,2.639,2.5161,2.70895
239489_at,NA,NA,5.193925,5.224175,4.91335,4.945575
239490_at,C7orf44,55744,5.40205,5.297425,5.46195,5.4687
239491_at,LASS5,91012,2.9165,2.985525,3.171675,3.0591
239492_at,SEC14L4,284904,3.265325,3.19205,3.30085,3.2969
239493_at,RPL7,6129,4.268575,4.491575,4.28455,4.17675
239494_at,NA,NA,2.71875,2.802425,3.035875,2.930225
239495_at,NA,NA,3.687025,3.69985,3.59435,3.779475
239496_at,NA,NA,3.26945,3.124525,2.98885,3.086825
239497_at,NA,NA,4.6492,4.69605,4.5276,4.6867
239498_at,NA,NA,5.187025,5.333575,5.33225,5.398375
239499_at,DNAH2,146754,4.64605,4.668775,4.477975,4.5634
239500_at,EFCAB1,79645,2.4714,2.38995,2.45085,2.338325
239501_at,NA,NA,3.07445,3.0151,2.953875,2.929775
239502_at,NA,NA,2.76625,2.715125,2.788725,2.9163
239503_at,NA,NA,3.922875,3.83995,4.91255,5.14025
239504_at,NA,NA,3.025125,2.798675,2.99715,2.952275
239505_at,NA,NA,5.15525,5.040275,4.958675,4.8374
239506_s_at,LOC151300,151300,2.535125,2.6963,2.6016,2.718
239507_at,LOC151300,151300,2.57015,2.348225,2.443,2.6552
239508_x_at,CCDC108,255101,4.767,4.7576,5.146075,5.27665
239509_at,FLJ16779,100192386,3.09025,3.15355,3.12185,3.080425
239510_at,C1orf212,113444,3.150475,3.14815,3.14625,3.0272
239511_s_at,SFRS4,6429,3.373175,3.2107,3.360025,3.280875
239512_at,SFRS4,6429,5.766925,5.623925,5.78895,5.894125
239513_at,C22orf45,646023,3.916675,3.74355,4.053875,3.89295
239514_at,NA,NA,2.3848,2.284,2.363475,2.3615
239515_at,NA,NA,5.099375,4.926625,5.255975,5.35295
