Probeset,GeneSymbole,GeneID,hpBECs,hpBECs + HA,hCMEC/D3,hCMEC/D3 + HA
1007_s_at,DDR1,780,8.117925,8.14725,8.72605,8.804525
1053_at,RFC2,5982,6.7648,6.7845,8.786225,8.8074
117_at,HSPA6,3310,4.238675,4.2174,4.16785,4.159525
121_at,PAX8,7849,7.217175,7.1451,6.70535,6.802075
1255_g_at,GUCA1A,2978,2.34145,2.572425,2.396375,2.427225
1294_at,UBA7,7318,7.399475,7.25575,8.404375,7.9065
1316_at,THRA,7067,5.64975,5.50195,5.640275,5.730075
1320_at,PTPN21,11099,4.9293,4.822075,4.5154,4.60455
1405_i_at,CCL5,6352,3.388475,3.56335,10.657425,9.49565
1431_at,CYP2E1,1571,2.994475,3.042125,3.01755,2.99835
1438_at,EPHB3,2049,4.4895,4.616575,4.3447,4.355325
1487_at,ESRRA,2101,7.315725,7.30875,6.848675,6.84525
1494_f_at,CYP2A6,1548,5.129375,5.233125,5.023675,4.96565
1552256_a_at,SCARB1,949,6.93585,6.936125,7.258225,7.457075
1552257_a_at,TTLL12,23170,8.18545,8.26615,8.23005,8.2686
1552258_at,NCRNA00152,112597,5.532325,5.373425,5.1234,5.23495
1552261_at,WFDC2,10406,3.177075,3.2545,2.9686,3.27145
1552263_at,MAPK1,5594,7.44135,7.372025,6.910375,6.9183
1552264_a_at,MAPK1,5594,8.036375,7.99575,7.57445,7.5792
1552266_at,ADAM32,203102,2.292825,2.257325,2.129025,2.2233
1552269_at,SPATA17,128153,2.6184,2.555725,2.5934,2.5601
1552271_at,PRR22,163154,4.8013,4.939125,4.725575,4.764725
1552272_a_at,PRR22,163154,4.64295,4.523775,4.84505,4.780275
1552274_at,PXK,54899,6.57175,6.487625,7.363075,7.2462
1552275_s_at,PXK,54899,5.6518,5.59525,6.6903,6.593925
1552276_a_at,VPS18,57617,4.9914,4.886625,4.515825,4.60065
1552277_a_at,C9orf30,91283,9.4157,9.34255,9.044675,8.9715
1552278_a_at,SLC46A1,113235,3.492875,3.5761,3.56175,3.522075
1552279_a_at,SLC46A1,113235,5.0013,4.9365,5.055775,4.931675
1552280_at,TIMD4,91937,3.244425,3.2182,3.168525,3.189475
1552281_at,SLC39A5,283375,5.635225,5.569975,5.512725,5.527825
1552283_s_at,ZDHHC11,79844,3.2289,3.226175,4.53225,4.6421
1552286_at,ATP6V1E2,90423,5.10475,4.81205,5.31155,5.3241
1552287_s_at,AFG3L1,172,7.417025,7.373875,8.0346,7.979925
1552288_at,CILP2,148113,2.7306,2.64675,2.811475,2.846075
1552289_a_at,CILP2,148113,2.9743,2.98115,2.7877,2.90865
1552291_at,PIGX,54965,5.849425,5.6576,6.7975,6.86595
1552293_at,TMEM196,256130,3.968075,3.95965,4.0333,3.896025
1552295_a_at,SLC39A13,91252,6.943625,6.81055,6.359375,6.427575
1552296_at,BEST4,266675,3.386475,3.32885,3.219325,3.315825
1552299_at,AKD1,221264,3.8879,4.169025,4.75475,4.4476
1552301_a_at,CORO6,84940,5.7576,5.654275,5.549125,5.30365
1552302_at,TMEM106A,113277,5.526025,5.31055,4.964125,4.721675
1552303_a_at,TMEM106A,113277,6.15845,6.0942,5.875875,5.6586
1552304_at,ALG10,84920,3.175975,3.1064,4.37065,4.052675
1552306_at,ALG10,84920,4.253925,4.123425,5.7243,5.6123
1552307_a_at,TTC39C,125488,4.28955,4.333125,3.45165,3.471
1552309_a_at,NEXN,91624,8.862525,8.807775,8.395425,8.24055
1552310_at,C15orf40,123207,7.647225,7.5107,7.7244,7.730975
1552311_a_at,RAX2,84839,6.2585,6.31295,6.0495,6.118975
1552312_a_at,MFAP3,4238,6.18355,6.35485,6.681225,6.80905
1552314_a_at,EYA3,2140,5.21975,5.289,5.118225,5.144225
1552315_at,GIMAP1,170575,7.67535,7.6106,6.125325,6.002875
1552316_a_at,GIMAP1,170575,8.747875,8.5292,6.603225,6.485675
1552318_at,GIMAP1,170575,8.499,8.300275,6.424775,6.1604
1552319_a_at,KLK8,11202,3.7125,3.7962,3.5975,3.638875
1552320_a_at,CCDC65,85478,2.419225,2.54895,2.295225,2.36945
1552321_a_at,CCDC65,85478,2.48575,2.359075,2.4515,2.4182
1552322_at,FAM122C,159091,2.333575,2.25735,3.287525,3.1329
1552323_s_at,FAM122C,159091,3.50155,3.23985,5.374675,5.212925
1552325_at,CCDC11,220136,2.03335,2.008275,2.199725,2.3027
1552326_a_at,CCDC11,220136,3.095675,3.1428,3.00685,3.058975
1552327_at,NA,NA,4.7102,4.621975,4.833625,4.628575
1552329_at,RBBP6,5930,6.1321,6.0352,5.812025,5.734825
1552330_at,CENPBD1,92806,6.31005,6.186,5.696825,5.7411
1552332_at,TRIOBP,11078,7.027575,7.024125,7.273575,7.2558
1552334_at,TRIOBP,11078,6.92415,6.687025,6.850375,6.629
1552335_at,CATSPER1,117144,6.24735,6.067175,6.0586,6.075775
1552337_s_at,HOXD4,3233,5.2599,5.04455,3.178975,3.593025
1552338_at,GSC,145258,3.6597,3.527025,3.462475,3.56355
1552340_at,SP7,121340,3.455575,3.574725,3.560425,3.542675
1552343_s_at,PDE7A,5150,3.92235,4.0097,4.1099,4.037775
1552344_s_at,CNOT7,29883,7.95685,7.967525,7.2121,7.3753
1552347_at,CRYZL1,9946,7.48975,7.3704,7.202525,7.174025
1552348_at,PRSS33,260429,3.9668,4.03735,3.758275,3.927475
1552349_a_at,PRSS33,260429,4.022575,3.909275,3.817975,3.788075
1552354_at,C19orf26,255057,3.85265,4.01145,3.831775,3.806225
1552355_s_at,C19orf26,255057,4.5938,4.549375,4.600575,4.519675
1552359_at,C8orf45,157777,2.3245,2.150875,2.305825,2.26175
1552360_a_at,TIRAP,114609,4.597175,4.665975,4.6932,4.485325
1552362_a_at,LEAP2,116842,4.2145,4.295,4.77695,4.818625
1552364_s_at,MSI2,124540,5.183925,5.35675,5.282975,5.3652
1552365_at,SCIN,85477,2.339625,2.34275,2.161325,2.216825
1552367_a_at,SCIN,85477,2.41085,2.428,2.332325,2.29455
1552368_at,CTCFL,140690,2.66265,2.54375,2.562525,2.679075
1552370_at,C4orf33,132321,5.283675,5.3022,6.903375,6.622225
1552372_at,C4orf33,132321,2.052,1.9697,2.026075,2.0324
1552373_s_at,C4orf33,132321,1.956625,1.946725,2.20205,2.0337
1552375_at,ZNF333,84449,4.216625,4.03105,3.924175,3.93055
1552377_s_at,FAM18B2,201158,6.328075,6.06635,5.831225,5.711575
1552378_s_at,RDH10,157506,5.1486,5.2031,5.356275,5.322425
1552379_at,RDH10,157506,2.036425,1.94495,2.013425,2.019375
1552381_at,SFRS13B,135295,2.69575,2.651825,2.65285,2.6015
1552383_at,FAM71A,149647,5.072125,5.144775,4.999375,4.799975
1552384_a_at,FAM71A,149647,3.75055,3.644925,3.770975,3.739375
1552386_at,GAPT,202309,2.28595,2.297575,2.31285,2.1314
1552388_at,FLJ30901,150378,5.573425,5.51135,5.1826,5.102875
1552389_at,C8orf47,203111,2.23675,2.55085,2.35505,2.3725
1552390_a_at,C8orf47,203111,2.2274,2.1613,2.369,2.29495
1552391_at,C1orf65,164127,3.57325,3.53465,3.437175,3.4375
1552393_at,ENTHD1,150350,2.424675,2.4865,2.3843,2.55985
1552394_a_at,ENTHD1,150350,2.39385,2.584675,2.566625,2.5987
1552395_at,TSSK3,81629,6.1403,6.22025,5.94805,5.8117
1552396_at,NA,NA,3.9354,3.868625,3.73135,3.930675
1552398_a_at,NA,NA,3.032775,3.10125,2.935025,3.027
1552399_a_at,BRF1,2972,3.19515,3.1956,2.9895,2.871275
1552400_a_at,C15orf27,123591,3.437575,3.4629,3.548275,3.496175
1552401_a_at,C21orf41,54073,2.650525,2.627275,2.53115,2.73165
1552402_at,CALML6,163688,3.46535,3.3997,3.50745,3.355625
1552405_at,NLRP5,126206,3.82985,3.934225,3.4744,3.661
1552408_at,ODF4,146852,2.72805,2.801325,2.83745,2.697
1552409_a_at,ODF4,146852,4.80395,4.90395,4.612375,4.784875
1552410_at,CLEC4F,165530,3.5144,3.4057,3.381675,3.46735
1552411_at,NA,NA,5.608075,5.4539,5.306175,5.377925
1552412_a_at,NA,NA,3.0994,3.069325,3.119925,3.049275
1552414_at,WFDC9,259240,2.8244,2.8171,2.57385,2.719775
1552415_a_at,WFDC9,259240,3.86915,3.847875,3.817175,3.77305
1552417_a_at,NEDD1,121441,5.478,5.459825,6.59515,6.5658
1552418_at,TTLL10,254173,3.9781,4.074825,3.85955,3.8777
1552419_s_at,TTLL10,254173,4.714025,4.51225,4.317,4.379
1552421_a_at,CALR3,125972,2.6696,2.69215,2.5814,2.523075
1552422_at,C10orf25,220979,5.003525,4.946725,4.64435,4.80255
1552423_at,ETV3,2117,4.887275,4.796475,4.539425,4.60115
1552424_at,KLHL10,317719,2.479225,2.51395,2.5834,2.578025
1552425_a_at,KLHL10,317719,2.94625,2.94555,2.8347,2.771925
1552426_a_at,TM2D3,80213,9.26295,9.200825,9.35185,9.347525
1552427_at,ZNF485,220992,2.688475,2.72975,3.02755,3.288225
1552430_at,WDR17,116966,2.05955,1.94245,2.002275,2.029125
1552432_at,MFSD6L,162387,4.667525,4.58455,4.61295,4.648975
1552436_a_at,CDH23,64072,5.0151,5.021125,4.88865,4.882575
1552438_a_at,ANKAR,150709,2.781425,2.59385,2.45935,2.484875
1552439_s_at,MEGF11,84465,2.26065,2.3122,2.216325,2.32445
1552440_at,GPR182,11318,3.213625,3.312575,3.327725,3.26365
1552445_a_at,ESX1,80712,2.979125,2.989225,3.0082,2.954675
1552448_a_at,C8orf12,83656,2.57465,2.559075,2.460525,2.48365
1552449_a_at,SCGB1C1,147199,2.9627,2.819075,2.718825,2.859125
1552450_a_at,DNAJC5G,285126,5.31365,5.24445,4.999625,5.079825
1552452_at,WDR88,126248,2.87835,2.881325,2.89645,2.941375
1552453_a_at,WDR88,126248,3.107975,3.070875,2.909875,3.043425
1552455_at,PRUNE2,158471,2.9027,2.9869,3.308925,3.311575
1552456_a_at,MBD3L2,125997,4.170975,4.0232,3.980225,4.006775
1552457_a_at,ADAMTSL1,92949,5.5407,5.550875,5.3902,5.221
1552458_at,MBD3L1,85509,2.703825,2.604325,2.506225,2.43115
1552459_a_at,MBD3L1,85509,3.70745,3.5781,3.669425,3.731375
1552461_at,FAM46D,169966,2.409275,2.318925,2.3624,2.33645
1552463_at,SERPINB11,89778,2.761025,2.738325,2.831875,2.7287
1552466_x_at,NCRNA00161,118421,2.273075,2.302875,2.25035,2.304475
1552467_at,DSCR10,259234,5.273275,5.307975,5.371475,5.361325
1552468_a_at,DSCR10,259234,4.8244,4.854225,4.45275,4.565275
1552470_a_at,ABHD11,83451,3.456425,3.422875,3.7492,3.847675
1552472_a_at,ACAP2,23527,5.09295,4.990575,5.922075,5.713825
1552473_at,GAMT,2593,6.676525,6.616075,6.3548,6.372375
1552474_a_at,GAMT,2593,7.04795,7.086125,6.34085,6.38065
1552476_s_at,PLCD3,113026,4.6579,4.56795,4.8393,4.86955
1552477_a_at,IRF6,3664,5.391375,4.776575,3.3513,3.126675
1552478_a_at,IRF6,3664,3.443375,3.185475,2.949925,2.980025
1552480_s_at,PTPRC,5788,1.938125,1.97015,1.981175,2.05095
1552481_s_at,MAN1A2,10905,3.99425,3.8971,3.2245,3.23345
1552482_at,RAPH1,65059,2.7773,2.719675,2.76855,2.72115
1552484_at,SMCR8,140775,4.96995,4.932925,4.9282,4.858625
1552485_at,LACTB,114294,8.23515,8.1074,8.341025,8.3347
1552486_s_at,LACTB,114294,8.060275,7.891725,8.69915,8.4518
1552487_a_at,BNC1,646,7.385275,7.396475,5.549425,5.477075
1552489_s_at,MPP4,58538,6.085925,6.15,4.4165,4.51335
1552490_at,LACE1,246269,3.3255,3.318775,3.3437,3.275375
1552491_at,IDI2,91734,3.77155,3.810825,3.8288,3.7656
1552493_s_at,CYP11B1,1584,3.865175,3.8251,3.69015,3.661175
1552494_at,TAF8,129685,4.07775,4.0133,3.753,3.911925
1552496_a_at,COBL,23242,2.966375,2.85675,2.8275,2.88755
1552497_a_at,SLAMF6,114836,3.6212,3.776375,3.3991,3.449425
1552498_at,ZSCAN20,7579,3.8239,3.782875,3.76865,3.689975
1552499_a_at,ZSCAN20,7579,3.893875,3.73925,3.777475,3.9435
1552501_a_at,GPBAR1,151306,4.6644,4.6482,4.4172,4.494025
1552502_s_at,RHBDL2,54933,2.682625,2.68495,4.2982,4.242575
1552503_at,FRAS1,80144,4.616825,4.5763,4.3905,4.6146
1552504_a_at,BRSK1,84446,3.9037,3.8234,3.726125,3.723
1552506_at,CRB2,286204,3.1648,3.197225,3.076275,3.060925
1552507_at,KCNE4,23704,2.866075,3.11825,2.848225,2.966625
1552508_at,KCNE4,23704,3.167425,3.22635,3.238475,3.375875
1552509_a_at,CD300LG,146894,2.57955,2.668825,2.6333,2.7189
1552510_at,SLC34A3,142680,7.37875,7.3252,7.341375,7.3649
1552511_a_at,CPA6,57094,2.13345,2.017275,2.0155,2.0756
1552514_at,WBP2NL,164684,2.45535,2.47505,2.557825,2.542925
1552515_at,HIPK1,204851,3.042775,3.162575,2.954475,2.813075
1552516_a_at,HIPK1,204851,3.477725,3.33765,3.4638,3.284625
1552518_s_at,MTBP,27085,3.1082,2.870525,5.051625,5.273125
1552519_at,ACVR1C,130399,3.45105,3.522175,3.420925,3.439925
1552520_at,TMEM74,157753,2.74265,2.814525,2.84045,2.840725
1552521_a_at,TMEM74,157753,2.220175,2.079525,2.028075,2.057875
1552522_at,TIGD4,201798,2.026325,2.17495,2.023975,2.01295
1552523_a_at,TIGD4,201798,3.493025,3.5606,3.577425,3.577875
1552524_at,ART5,116969,5.679975,5.4927,5.658775,5.750575
1552526_at,FAM71C,196472,3.530475,3.61315,3.648075,3.521425
1552528_at,C21orf67,84536,6.24605,6.26045,6.1677,6.08575
1552531_a_at,NLRP11,204801,2.8017,2.86285,2.851925,2.984925
1552532_a_at,ATP6V1C2,245973,2.450025,2.3451,2.47175,2.3398
1552535_at,CLDN19,149461,4.651125,4.518025,4.864775,4.720375
1552536_at,VTI1A,143187,3.2332,3.09455,3.027375,3.187275
1552538_a_at,KIF6,221458,2.17555,2.368975,2.5616,2.3468
1552540_s_at,IQCD,115811,4.85825,4.809875,4.90265,4.883525
1552541_at,TAGAP,117289,6.6113,6.602375,6.096725,6.1027
1552542_s_at,TAGAP,117289,3.1842,3.073475,3.049025,3.2161
1552543_a_at,STON2,85439,3.04855,2.9197,2.96135,2.893325
1552544_at,SERPINA12,145264,3.289575,3.3368,3.2031,3.292475
1552546_a_at,LETM2,137994,3.970075,3.7993,6.316275,6.176475
1552548_at,BSND,7809,3.0959,3.103475,2.906225,2.9406
1552549_a_at,BSND,7809,4.398975,4.5466,4.4192,4.52285
1552552_s_at,CLEC4C,170482,2.63255,2.7836,2.8099,2.697025
1552553_a_at,NLRC4,58484,2.6166,2.619925,2.5912,2.498825
1552554_a_at,NLRC4,58484,3.038525,3.221175,3.09695,2.988575
1552555_at,PRSS36,146547,4.553275,4.50655,4.547625,4.5723
1552557_a_at,ZDHHC15,158866,2.129275,2.051275,2.323825,2.3785
1552558_a_at,RAI1,10743,5.146025,5.077225,4.97015,5.040275
1552559_a_at,CDK15,65061,3.362975,3.290325,3.130275,3.160675
1552562_at,ZNF570,148268,4.033425,3.804525,4.0516,4.18775
1552563_a_at,NA,NA,2.35255,2.482075,2.5207,2.5833
1552564_at,NUDT9P1,119369,2.853175,2.76265,3.2572,3.287525
1552566_at,BTBD16,118663,3.104675,3.20695,3.322475,3.471475
1552568_at,RTP3,83597,4.024975,3.943225,3.7581,3.940575
1552569_a_at,RTP3,83597,3.8786,4.0709,3.896275,3.822225
1552570_at,C21orf29,54084,3.791325,3.7288,3.7782,3.7501
1552572_a_at,MIPOL1,145282,4.15505,4.207425,2.9896,2.95005
1552573_s_at,MIPOL1,145282,5.837575,5.8399,4.659225,4.76285
1552575_a_at,C6orf141,135398,7.1114,6.918675,5.7908,5.3255
1552576_at,ALMS1P,200420,3.545,3.493775,3.544975,3.44055
1552578_a_at,MYO3B,140469,2.3539,2.439625,2.290575,2.318625
1552579_a_at,ADAM21,8747,3.6558,3.64545,3.4943,3.76235
1552580_at,TRIML2,205860,3.536125,3.801525,3.74945,3.791975
1552582_at,ABCC13,150000,2.3982,2.2855,2.286325,2.3303
1552583_s_at,ABCC13,150000,2.8647,2.79995,2.6918,2.79095
1552584_at,IL12RB1,3594,3.432875,3.23135,4.4006,4.123725
1552585_s_at,GTF2A1L,11036,2.4928,2.50615,2.5024,2.4909
1552586_at,TRPV3,162514,3.90985,4.058475,4.0486,3.8816
1552587_at,CNBD1,168975,2.563,2.423375,2.4324,2.609025
1552588_a_at,CNBD1,168975,2.3836,2.372875,2.40025,2.484625
1552590_a_at,ABCC12,94160,2.299775,2.365925,2.269175,2.323
1552592_at,MMP21,118856,2.588475,2.51765,2.4445,2.43745
1552594_at,TMEM190,147744,4.9727,4.9149,4.841375,4.8785
1552596_at,GAS2L2,246176,5.54425,5.52885,5.3171,5.35765
1552598_at,KCNG4,93107,3.872975,3.950475,3.770075,3.983675
1552599_at,PXT1,222659,2.77,2.82555,2.732025,2.82415
1552602_at,CACNG5,27091,5.12585,5.12685,4.9154,4.985175
1552604_at,C21orf74,54143,4.33585,4.332875,4.21985,4.07975
1552605_s_at,C21orf74,54143,2.8479,3.008575,2.900075,2.872525
1552607_at,NCRNA00204,100132967,4.32715,4.127375,4.36225,4.500675
1552608_at,WFDC11,259239,2.9672,3.044775,2.9596,2.977625
1552609_s_at,NA,NA,3.174875,3.130825,3.099125,2.937375
1552610_a_at,JAK1,3716,9.171575,9.13625,8.428575,8.203075
1552611_a_at,JAK1,3716,10.364325,10.16075,9.686275,9.542375
1552612_at,CDC42SE2,56990,6.2101,6.1741,6.29675,6.12415
1552613_s_at,CDC42SE2,56990,6.106825,6.04905,6.36205,6.207925
1552615_at,ACACB,32,6.777175,6.822025,6.492725,6.5699
1552616_a_at,ACACB,32,4.2495,4.3565,4.22835,4.33145
1552617_a_at,RFWD2,64326,7.936775,8.084875,7.882725,7.844275
1552618_at,STX6,10228,7.6006,7.7369,7.585925,7.478725
1552619_a_at,ANLN,54443,7.677075,7.712575,9.637525,9.60185
1552620_at,SPRR4,163778,6.53655,6.49165,6.297375,6.34795
1552621_at,NA,NA,8.450025,8.179325,7.901025,7.83745
1552622_s_at,NA,NA,7.538425,7.30045,7.1104,6.9986
1552623_at,HSH2D,84941,2.878725,3.0817,3.84815,3.43535
1552625_a_at,TRNT1,51095,6.482825,6.539475,6.850775,6.727
1552626_a_at,TMEM163,81615,6.818975,6.54335,3.908275,3.80665
1552627_a_at,ARHGAP5,394,5.5024,5.452675,5.9038,5.88735
1552628_a_at,HERPUD2,64224,8.56265,8.557475,8.268825,8.25005
1552629_a_at,JMJD6,23210,2.9474,2.84665,2.9294,3.00025
1552630_a_at,SRCAP,10847,4.63535,4.8137,4.7556,4.894475
1552631_a_at,MAP3K6,9064,4.44845,4.8512,4.907925,4.97035
1552632_a_at,ARSG,22901,4.47245,4.3393,4.1933,4.22235
1552633_at,ZNF101,94039,5.4814,5.3017,5.958425,5.98635
1552634_a_at,ZNF101,94039,5.217975,5.031375,5.772825,5.9849
1552637_at,PTPN11,5781,3.724425,3.64675,3.38935,3.481775
1552639_at,KLHDC7B,113730,4.2904,4.50955,4.175475,4.08075
1552641_s_at,NA,NA,6.2669,6.229025,6.617125,6.5939
1552643_at,ZNF626,199777,5.10315,5.12405,5.0897,5.059275
1552644_a_at,PHC3,80012,5.5047,5.1718,6.513075,6.4445
1552646_at,IL11RA,3590,4.6286,4.646,4.732275,4.8291
1552648_a_at,TNFRSF10A,8797,6.8342,6.710875,7.58645,7.32445
1552649_a_at,RFFL,117584,4.054075,3.98765,4.110125,4.12625
1552651_a_at,RFFL,117584,4.4068,4.490675,4.42415,4.394
1552652_at,HPS4,89781,5.84605,5.8836,5.95,5.94075
1552656_s_at,UHMK1,127933,4.19705,4.1858,4.17615,4.295525
1552657_a_at,TXNDC2,84203,4.452675,4.467625,4.241975,4.1803
1552658_a_at,NAV3,89795,5.389675,5.7216,3.2037,3.3888
1552660_a_at,C5orf22,55322,5.349525,5.162075,5.33975,5.207525
1552661_at,PCDHGB7,56099,2.1576,2.22305,2.23035,2.120125
1552662_a_at,PCDHGB7,56099,4.578125,4.6563,4.267025,4.339825
1552663_a_at,ERC1,23085,5.8637,5.7383,5.913225,5.976525
1552664_at,FLCN,201163,7.840525,7.5371,7.5079,7.3068
1552665_at,LOC84989,84989,5.63095,5.321,5.601275,5.71525
1552666_a_at,LRRC7,57554,2.304925,2.314325,2.12905,2.1426
1552667_a_at,SH2D3C,10044,7.230625,7.225675,6.554125,6.495375
1552669_at,PPP1R3B,79660,2.8188,2.930925,2.951875,2.774875
1552670_a_at,PPP1R3B,79660,6.02665,6.47335,5.47065,5.718975
1552671_a_at,SLC9A7,84679,4.71655,4.9642,4.9927,4.9024
1552672_a_at,IGSF3,3321,3.71205,3.5943,3.623875,3.573975
1552673_at,RFX6,222546,2.6158,2.57955,2.52505,2.664475
1552674_at,DIRC1,116093,2.0513,2.045675,2.08665,2.001225
1552675_at,DNAJB7,150353,2.0968,2.199925,2.10625,2.068525
1552676_at,UCN3,114131,4.6776,4.69195,4.319275,4.254225
1552677_a_at,DIP2A,23181,5.94405,5.8138,6.207925,6.1181
1552678_a_at,USP28,57646,5.451825,5.69275,6.25625,6.203625
1552680_a_at,CASC5,57082,6.173025,6.149275,8.308925,8.409825
1552682_a_at,CASC5,57082,3.71005,3.9188,5.403825,5.282025
1552684_a_at,SENP8,123228,4.584425,4.624025,4.357825,4.4169
1552685_a_at,GRHL1,29841,3.794675,3.72515,4.27205,4.21
1552686_at,C20orf152,140894,3.560225,3.6169,3.409425,3.4494
1552687_a_at,C20orf152,140894,3.25665,3.2043,3.3246,3.3696
1552689_at,CASKIN1,57524,6.290175,6.3805,6.048775,6.117775
1552690_a_at,CACNA2D4,93589,3.819925,3.900575,3.666675,3.71835
1552691_at,ARL11,115761,2.00555,2.208625,2.010175,2.047975
1552693_at,ARL11,115761,2.28615,2.374325,2.3084,2.33625
1552694_at,SLC2A13,114134,2.2939,2.25885,2.30245,2.1557
1552695_a_at,SLC2A13,114134,3.026775,2.982775,2.810325,2.758325
1552696_at,NIPA1,123606,3.7237,3.766625,4.27695,4.305825
1552698_at,MGC16703,113691,4.983975,4.902975,5.150075,5.112775
1552701_a_at,CARD16,114769,11.248225,10.98265,10.613875,10.475825
1552703_s_at,NA,NA,10.268575,10.033675,10.1788,9.92165
1552705_at,DUSP19,142679,3.1489,3.159275,3.3354,3.463475
1552708_a_at,DUSP19,142679,3.191125,3.124275,3.301175,3.12965
1552711_a_at,CYB5D1,124637,6.419025,6.5647,6.02565,6.221325
1552712_a_at,NMNAT2,23057,4.143075,4.0504,4.347875,4.12945
1552713_a_at,SLC4A1,6521,2.921475,3.05755,2.8112,2.9023
1552714_at,CREG2,200407,2.65345,2.66105,2.5415,2.64125
1552715_a_at,RXFP1,59350,2.284225,2.2413,2.570325,2.33665
1552716_at,SPEF2,79925,3.730775,3.6282,3.00775,2.943025
1552717_s_at,NA,NA,5.5471,5.593725,5.2404,4.9166
1552718_at,DTD1,92675,4.408425,4.392575,4.211625,4.1134
1552719_at,CASC4,113201,4.857475,4.974075,4.8975,5.111575
1552721_a_at,FGF1,2246,2.445525,2.433825,2.497025,2.592075
1552722_at,ARPP-21,10777,2.362375,2.4153,2.40455,2.40655
1552724_at,RHOXF1,158800,4.08425,4.244225,4.147575,4.14415
1552725_s_at,ADAMTS17,170691,3.605025,3.8057,3.432975,3.3979
1552726_at,ADAMTS17,170691,3.545175,3.526875,3.636075,3.63515
1552727_s_at,ADAMTS17,170691,2.50035,2.596375,2.567425,2.545925
1552729_at,SNHG7,84973,5.955825,6.030925,5.96995,6.06085
1552730_at,DHH,50846,5.13915,5.28105,5.00555,5.2238
1552731_at,ABRA,137735,2.424325,2.518775,2.574275,2.3677
1552732_at,ABRA,137735,1.923725,2.07295,2.024075,1.97835
1552733_at,KLHDC1,122773,5.3362,5.146775,4.450475,4.36715
1552734_at,RICTOR,253260,3.472775,3.449,4.08695,3.963175
1552735_at,NA,NA,4.4919,4.63485,3.299625,3.156825
1552736_a_at,NETO1,81832,2.51845,2.472325,2.4214,2.371225
1552737_s_at,WWP2,11060,3.136125,3.169175,3.327975,3.4802
1552738_a_at,ST7L,54879,5.38575,5.28295,5.40985,5.415675
1552739_s_at,ST7L,54879,5.535975,5.6987,6.008125,5.859075
1552740_at,C2orf15,150590,2.280575,2.33195,2.316325,2.34205
1552742_at,KCNH8,131096,2.14665,2.084975,2.112925,2.263025
1552743_at,MCF2L,23263,3.1726,3.28465,3.10035,3.241625
1552745_at,SLCO6A1,133482,2.83105,2.761275,2.776075,2.76495
1552747_a_at,C3orf48,151649,2.18875,2.167925,2.145075,2.1558
1552749_a_at,KLC3,147700,6.622325,6.577325,6.403575,6.344
1552750_at,CIB3,117286,2.67925,2.71395,2.63495,2.620925
1552751_a_at,CIB3,117286,5.223725,5.10705,4.908875,4.927925
1552752_a_at,CADM2,253559,3.051675,2.8865,2.84405,2.9016
1552754_a_at,CADM2,253559,2.649425,2.437525,2.15025,2.26985
1552755_at,C9orf66,157983,2.801425,2.925675,2.4907,2.517475
1552757_s_at,C9orf66,157983,2.8044,2.8873,2.67795,2.7279
1552758_at,HDAC9,9734,2.42745,2.414575,2.373375,2.435525
1552760_at,HDAC9,9734,2.760225,2.5421,2.68455,2.375875
1552761_at,SLC16A11,162515,5.8067,5.87195,5.680225,5.7192
1552763_at,TMEM67,91147,2.263125,2.320525,2.189875,2.296075
1552765_x_at,TMEM67,91147,2.453,2.618925,2.7291,2.5829
1552766_at,HS6ST2,90161,2.49705,2.54115,2.21305,2.32615
1552767_a_at,HS6ST2,90161,5.508575,5.364775,3.1023,3.159875
1552768_at,CAMKK1,84254,5.195325,5.123075,5.118125,5.120125
1552769_at,ZNF625,90589,4.532875,4.4866,4.51915,4.371475
1552770_s_at,ZNF563,147837,3.279025,3.17565,3.2403,3.1932
1552771_a_at,LIN9,286826,2.85265,2.777275,3.02745,3.1331
1552772_at,CLEC4D,338339,3.33755,3.3007,3.2961,3.3366
1552773_at,CLEC4D,338339,3.1398,3.089775,3.203225,3.31925
1552774_a_at,SLC25A27,9481,3.08365,2.991975,2.9631,2.959475
1552775_at,GPRC6A,222545,4.33425,4.359,4.167625,4.17335
1552777_a_at,RAET1E,135250,3.033425,3.042925,3.2138,3.1435
1552779_a_at,SLC44A5,204962,2.87605,2.950925,2.72375,2.5552
1552782_at,SLC44A5,204962,4.173225,3.898575,3.470325,3.3105
1552783_at,ZNF417,147687,2.334725,2.27985,2.325525,2.427675
1552785_at,ZNF781,163115,2.475825,2.361125,2.57995,2.734275
1552787_at,HELB,92797,3.414325,3.433325,3.487875,3.328425
1552788_a_at,HELB,92797,4.32445,4.4513,4.5058,4.5576
1552789_at,SEC62,7095,5.58795,5.66725,5.640775,6.046875
1552790_a_at,SEC62,7095,7.3829,7.5518,7.203175,7.60915
1552791_a_at,TRDN,10345,2.32235,2.16475,2.29745,2.199825
1552792_at,SOCS4,122809,3.273775,3.1872,4.030625,4.176925
1552793_at,C8orf31,286122,3.440375,3.46865,3.35045,3.3413
1552794_a_at,ZNF547,284306,3.7335,3.3636,2.95955,2.90195
1552796_a_at,SIM1,6492,3.242575,3.3284,3.126325,3.12975
1552797_s_at,PROM2,150696,2.64015,2.534775,2.5511,2.546975
1552798_a_at,TLR4,7099,6.335825,6.220625,6.669925,6.3583
1552799_at,TSNARE1,203062,3.316675,3.50085,3.183225,3.326125
