	GSM309986.CEL
1007_s_at	1696.36340583391
1053_at	536.172481846267
117_at	162.799854807703
121_at	478.734061425437
1255_g_at	4.99591649913322
1294_at	416.507983977222
1316_at	104.790187401535
1320_at	39.9996630768088
1405_i_at	480.978625287269
1431_at	158.649959965034
1438_at	40.5443071184733
1487_at	2119.13209306624
1494_f_at	128.816568457581
1552256_a_at	627.934527319587
1552257_a_at	704.414228398581
1552258_at	70.7731692938769
1552261_at	100.335136481135
1552263_at	107.549401160626
1552264_a_at	359.027584670696
1552266_at	10.615613446328
1552269_at	22.0139853370835
1552271_at	16.1716293405101
1552272_a_at	47.2041508100587
1552274_at	372.370291954203
1552275_s_at	349.4608819096
1552276_a_at	9.29467132827519
1552277_a_at	956.851355688347
1552278_a_at	94.5694327283022
1552279_a_at	264.892894149176
1552280_at	924.149693747969
1552281_at	89.5535207895426
1552283_s_at	276.294904975574
1552286_at	379.032397047985
1552287_s_at	416.689567952919
1552288_at	56.085850309983
1552289_a_at	19.9989272151062
1552291_at	599.035071003933
1552293_at	73.6816489832674
1552295_a_at	327.62990015612
1552296_at	12.6385130473837
1552299_at	25.1139628986759
1552301_a_at	5026.91146995889
1552302_at	71.1499613690172
1552303_a_at	273.190699035724
1552304_at	39.4646950144654
1552306_at	71.6873765768118
1552307_a_at	182.129545156765
1552309_a_at	10670.373379288
1552310_at	449.274612017415
1552311_a_at	257.653892464047
1552312_a_at	163.952390418895
1552314_a_at	3.22541750723577
1552315_at	289.698735713565
1552316_a_at	1104.16367178971
1552318_at	1136.92030343129
1552319_a_at	99.0566656148851
1552320_a_at	15.5288086723732
1552321_a_at	73.3762890412249
1552322_at	17.6570901707202
1552323_s_at	130.537388872195
1552325_at	68.2990694535928
1552326_a_at	85.4644502614375
1552327_at	55.3535332836178
1552329_at	318.379640233295
1552330_at	454.358020172861
1552332_at	186.186902736973
1552334_at	373.816535471957
1552335_at	74.5739069733281
1552337_s_at	6.41583842249187
1552338_at	12.567155447945
1552340_at	8.22425410687566
1552343_s_at	854.202633789504
1552344_s_at	747.905615437226
1552347_at	1402.74101397281
1552348_at	139.969552446931
1552349_a_at	78.7899240035596
1552354_at	30.4484193863025
1552355_s_at	9.62659595016159
1552359_at	64.7541407760922
1552360_a_at	196.479018481983
1552362_a_at	260.814001419301
1552364_s_at	166.063869958432
1552365_at	236.334638502051
1552367_a_at	178.78733301559
1552368_at	12.5320632668487
1552370_at	194.404501731819
1552372_at	7.81765343039657
1552373_s_at	15.0879889449294
1552375_at	79.8959677111252
1552377_s_at	251.804113023911
1552378_s_at	37.118793933611
1552379_at	10.2335773029705
1552381_at	15.7133343794726
1552383_at	231.12030675968
